,state,sat_part_17,sat_total_17,sat_part_18,sat_total_18,sat_part_19,sat_total_19,act_part_17,act_comp_17,act_part_18,act_comp_18,act_part_19,act_comp_19,perc_college_bound,tot_hs_grads,tot_college_bound,perc_bach,pop_bach
37,Pennsylvania,0.65,1071.0,0.7,1086.0,0.7,1082.0,0.23,23.7,0.2,23.5,0.17,23.6,0.619,137709,85246,0.39880000000000004,676063.0
38,Rhode Island,0.71,1062.0,0.97,1018.0,1.0,995.0,0.21,24.0,0.15,24.2,0.12,24.7,0.6981,11039,7707,0.3884,56847.0
39,South Carolina,0.5,1064.0,0.55,1070.0,0.68,1030.0,1.0,18.7,1.0,18.3,0.78,18.8,0.6889,46760,32212,0.3096,202609.0
40,South Dakota,0.03,1216.0,0.03,1240.0,0.03,1268.0,0.8,21.8,0.77,21.9,0.75,21.6,0.6931999999999999,8522,5907,0.3464,40289.0
41,Tennessee,0.05,1228.0,0.06,1231.0,0.07,1220.0,1.0,19.8,1.0,19.6,1.0,19.4,0.6865000000000001,67268,46182,0.3136,286898.0
42,Texas,0.62,1020.0,0.66,1032.0,0.68,1022.0,0.45,20.7,0.45,20.7,0.39,20.5,0.5759000000000001,348578,200734,0.3139,1312561.0
43,Utah,0.03,1238.0,0.04,1010.0,0.04,1230.0,1.0,20.3,1.0,20.4,1.0,20.3,0.4696,39100,18361,0.3414,158170.0
44,Vermont,0.6,1114.0,0.64,1120.0,0.66,1106.0,0.29,23.6,0.24,24.1,0.2,24.1,0.5511,6676,3679,0.4606,34574.0
45,Virginia,0.65,1102.0,0.68,1117.0,0.68,1119.0,0.29,23.8,0.24,23.9,0.21,24.0,0.69,90213,62243,0.4156,486362.0
46,Washington,0.64,1075.0,0.69,1081.0,0.7,1074.0,0.29,21.9,0.24,22.2,0.24,22.1,0.5323,70411,37480,0.3936,453954.0
47,West Virginia,0.14,1086.0,0.28,999.0,0.99,943.0,0.69,20.4,0.65,20.3,0.49,20.8,0.5485,17447,9570,0.2696,56349.0
48,Wisconsin,0.03,1291.0,0.03,1294.0,0.03,1283.0,1.0,20.5,1.0,20.5,1.0,20.3,0.5828,65548,38202,0.35159999999999997,258714.0
49,Wyoming,0.03,1230.0,0.03,1257.0,0.03,1238.0,1.0,20.2,1.0,20.0,1.0,19.8,0.5611999999999999,5864,3291,0.2743,21194.0
